id,shape,color,cut,clarity,polish,symmetry,florescence
16686,0,5,2,2,2,2,4
91044,4,5,0,2,2,2,3
96462,1,5,1,2,2,0,4
63074,0,1,1,4,2,1,4
100888,0,0,2,2,2,2,4
96905,0,6,2,2,2,2,2
49536,7,6,1,1,2,1,3
17884,0,0,1,1,2,2,2
88091,0,5,2,4,2,2,4
27536,5,3,0,0,2,1,3
78210,0,4,2,2,2,2,1
57220,0,5,2,5,2,2,2
104213,0,5,2,3,2,2,2
10380,0,6,2,1,2,2,2
60823,0,6,2,2,2,2,3
91832,4,2,0,2,2,2,3
45785,7,3,1,4,1,0,4
27523,1,4,1,0,1,0,4
101571,0,5,2,1,2,2,2
116228,0,5,2,2,2,1,4
5008,0,3,1,5,2,2,3
16121,0,4,2,1,2,2,4
21281,8,4,0,2,0,0,4
28586,0,3,2,5,2,2,4
105257,8,1,3,3,1,1,4
89084,7,3,0,0,1,0,3
3411,0,0,2,3,2,2,3
71120,6,3,1,0,1,0,4
58817,7,3,1,1,0,0,4
40777,0,3,2,5,2,2,3
20077,0,3,2,4,2,2,2
19451,0,5,2,3,1,1,4
60155,6,2,1,2,2,2,4
55056,7,6,1,3,2,1,4
69804,2,3,0,3,2,1,4
47334,8,6,1,1,2,0,4
11199,0,5,2,3,2,2,4
94665,4,3,1,1,2,2,3
26411,0,2,1,2,0,2,4
88713,0,4,2,3,2,2,4
23226,0,5,1,2,1,1,4
30593,1,0,1,1,0,0,4
101151,0,4,2,0,2,2,4
17774,0,3,2,5,2,2,3
70024,0,6,2,4,2,2,4
58927,4,2,1,3,2,1,3
112528,0,6,2,4,2,2,2
60982,0,4,2,3,2,2,3
13750,0,4,2,2,2,2,4
9335,0,4,2,3,1,1,4
31956,0,4,2,6,2,2,3
65903,4,3,0,1,1,0,4
68441,2,3,1,2,1,1,4
69865,0,5,1,1,2,1,2
37537,0,5,2,5,2,2,4
60771,0,6,2,6,2,2,2
31949,7,6,1,4,2,1,3
96791,0,1,1,1,1,1,1
82830,6,2,1,3,2,2,4
71393,0,5,2,0,2,2,4
79500,4,0,1,3,2,1,4
52603,0,2,2,1,2,2,4
70212,2,4,1,1,2,1,3
72295,7,2,1,3,2,1,4
101970,2,5,1,5,2,2,4
13903,0,6,0,5,2,1,3
37645,0,5,2,5,2,2,4
112360,0,3,2,0,2,2,4
26093,0,2,2,5,2,2,4
58342,0,6,2,4,2,2,4
53005,0,5,1,1,2,1,4
46951,8,0,3,5,2,1,3
79068,0,6,1,3,2,2,4
76215,0,5,2,1,2,2,4
94239,0,6,1,1,2,2,3
45793,1,5,1,6,2,1,4
53420,0,4,2,3,2,2,2
30832,0,0,1,4,1,2,2
44902,7,4,1,3,2,1,3
88175,0,2,2,0,2,2,4
80780,0,5,2,0,2,2,3
90983,8,6,1,1,2,1,4
33383,0,6,2,3,2,2,4
54109,0,4,2,2,2,2,4
7034,0,0,2,4,2,2,3
83335,0,5,2,4,2,2,4
32234,0,6,2,5,2,2,4
40338,0,0,1,4,1,1,3
42277,0,6,2,5,2,2,4
38422,0,4,1,2,2,1,4
2264,9,5,1,5,1,1,1
4216,0,3,1,5,1,2,4
74178,9,5,1,3,1,0,4
104531,8,1,1,5,2,2,4
72221,0,4,1,2,1,2,4
103249,0,5,2,1,2,2,3
21166,0,6,2,5,2,2,2
81025,5,6,1,2,2,1,4
49404,8,2,1,5,2,1,4
30442,0,1,2,2,2,2,4
30942,0,3,2,2,2,2,4
65607,6,0,1,0,2,1,1
82319,1,1,1,0,0,0,4
42321,0,2,2,4,2,1,2
81312,9,6,0,3,2,2,3
102703,0,4,2,2,2,2,1
108420,0,4,2,2,2,2,4
8247,0,4,2,2,2,2,4
103917,0,4,2,3,2,2,1
22200,0,3,1,1,2,1,4
19248,0,5,2,2,2,2,4
65603,0,5,2,2,2,2,4
37006,0,3,2,3,2,2,4
110542,0,6,2,1,2,2,4
60050,0,4,2,3,2,2,3
32559,0,1,2,2,2,2,3
72943,8,0,1,3,2,1,4
106911,0,3,2,3,2,2,4
87441,3,6,1,2,2,2,4
74480,0,2,1,2,2,1,4
72942,8,6,1,2,2,1,4
99468,0,4,0,4,1,1,1
961,0,5,2,5,2,1,4
52924,0,6,1,1,2,1,4
83733,7,0,1,2,2,1,4
28448,0,6,2,4,2,2,3
69849,4,3,1,5,2,2,3
5035,0,0,2,4,2,2,4
67893,0,5,2,4,2,2,4
111958,0,2,2,1,2,2,4
69316,0,6,2,6,2,2,4
105680,0,2,2,4,2,2,4
103392,1,4,1,2,2,1,4
31581,0,5,2,6,2,2,4
114118,0,2,2,2,2,2,4
103473,0,4,1,3,2,0,4
27066,0,3,2,2,2,2,4
82483,0,5,2,2,2,2,3
44878,8,5,1,5,2,1,4
80131,7,2,1,0,2,0,4
45165,0,2,2,1,2,2,2
86982,0,4,2,5,2,2,4
35845,0,4,2,1,2,2,4
388,0,1,2,5,2,1,4
81824,0,6,2,1,2,2,4
71312,4,6,1,3,1,1,4
105366,0,1,2,2,2,2,4
40195,0,6,2,2,2,2,4
27492,0,6,2,1,2,2,4
4948,0,5,0,3,0,0,3
108927,0,4,2,1,2,2,2
68386,0,5,2,5,2,2,3
23043,0,2,1,1,1,2,4
31387,0,5,1,2,1,0,4
98361,7,3,1,5,2,2,2
53468,0,4,2,5,2,2,4
58194,0,5,2,3,2,2,4
91499,8,2,1,1,1,1,4
99863,0,5,2,0,2,2,4
19073,0,5,2,3,2,2,3
25228,0,2,2,5,2,2,4
78719,7,3,1,3,2,1,1
69621,0,4,2,5,2,2,1
